INFO  - 2014-05-20 17:42:50.095; org.apache.solr.rest.RestManager; Initializing RestManager with initArgs: {storageDir=/opt/solr/example/solr/pinder/conf/}
INFO  - 2014-05-20 17:42:50.099; org.apache.solr.rest.ManagedResourceStorage; Reading _rest_managed.json using file:dir=/opt/solr/example/solr/pinder/conf
WARN  - 2014-05-20 17:42:50.099; org.apache.solr.rest.ManagedResource; No stored data found for /rest/managed
WARN  - 2014-05-20 17:42:50.100; org.apache.solr.rest.ManagedResource; No registered observers for /rest/managed
INFO  - 2014-05-20 17:42:50.101; org.apache.solr.rest.RestManager; Initializing 2 registered ManagedResources
INFO  - 2014-05-20 17:42:50.102; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_stopwords_english.json using file:dir=/opt/solr/example/solr/pinder/conf
INFO  - 2014-05-20 17:42:50.115; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_stopwords_english.json using file:dir=/opt/solr/example/solr/pinder/conf
INFO  - 2014-05-20 17:42:50.115; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true} for /schema/analysis/stopwords/english
INFO  - 2014-05-20 17:42:50.116; org.apache.solr.rest.schema.analysis.ManagedWordSetResource; Loaded 35 words for /schema/analysis/stopwords/english
INFO  - 2014-05-20 17:42:50.118; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/stopwords/english
INFO  - 2014-05-20 17:42:50.119; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_synonyms_english.json using file:dir=/opt/solr/example/solr/pinder/conf
INFO  - 2014-05-20 17:42:50.120; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_synonyms_english.json using file:dir=/opt/solr/example/solr/pinder/conf
INFO  - 2014-05-20 17:42:50.121; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true,format=solr} for /schema/analysis/synonyms/english
INFO  - 2014-05-20 17:42:50.122; org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager; Loaded 3 synonym mappings for /schema/analysis/synonyms/english
INFO  - 2014-05-20 17:42:50.127; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/synonyms/english
INFO  - 2014-05-20 17:42:50.128; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2014-05-20 17:42:50.144; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2014-05-20 17:42:50.160; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
